party,chunk
SP,"Programm der Partei der
Schweiz
(Angenommen durch den Parteitag vom 27. und 28. Juni 1959 in Winterthur)
Die Leute kämpfen für eine Gesellschaftsordnung, die den Menschen
von wirtschaftlicher Ausbeutung befreit. Jeder Mensch soll unabhängig von
Herkommen und Besitz seine Anlagen und Fähigkeiten frei entfalten können. Die
Menschen dürfen durch keine Vorrechte benachteiligt und durch keine wirtschaftliche
Macht ausgebeutet werden. Solidarität und soziale Gerechtigkeit müssen die
Grundpfeiler der menschlichen Gemeinschaft bilden. Erst dann ist unsere
gesellschaftliche Ordnung so gestaltet, dass sie den Menschen von wirtschaftlichen
Gefahren und Not befreit, seine Rechte garantiert und ihm die Schönheiten des
Lebens erschliesst.
Eine auf der Vorherrschaft des Kapitals beruhende Wirtschaftsordnung ist nicht in
der Lage, dem gesamten Volke auf die Dauer Wohlstand und kulturellen Aufstieg zu
sichern. Der Sozialismus will jedermann eine menschenwürdige Existenz"
SP,"sichern. Der Sozialismus will jedermann eine menschenwürdige Existenz
ermöglichen, dem Volke Wohlstand verschaffen und der Pflege der kulturellen Werte
dienen.
Die Partei der Schweiz steht auf dem Boden der Demokratie.
Sie verurteilt und bekämpft jede Diktatur. Wahre Demokratie ist ein Ziel, das immer
wieder neu erkämpft werden muss. Wahre Demokratie beruht auf der
Gleichberechtigung aller Menschen und der Sicherung ihres Mitspracherechtes in
Staat und Wirtschaft. Wahre Demokratie rückt den Menschen in den Mittelpunkt alles
gesellschaftlichen Geschehens.
In der Schweiz wie in ganz Europa werden Freiheit, Demokratie, soziale
Gerechtigkeit und allgemeiner Wohlstand nur dann zu begründen und zu erhalten
sein, wenn überall auf der Erde die Menschen von Krieg und Armut, Furcht und
Rechtlosigkeit befreit werden. Die Ausbreitung und Vertiefung der Demokratie und
der freie Gedankenaustausch zwischen allen Völkern schaffen die wesentlichen"
SP,"der freie Gedankenaustausch zwischen allen Völkern schaffen die wesentlichen
Grundlagen für ein friedliches Zusammenleben der Menschen. Die Schweiz muss
daher, bei Wahrung ihrer militärischen Neutralität, die internationale Solidarität
hochhalten und im Rahmen der internationalen Organisationen tatkräftig mitwirken.
I. Aussenpolitik und Landesverteidigung
Die Partei der Schweiz unterstützt die auf die Einigung Europas
und der Welt in einer freiheitlichen demokratischen Föderation gerichteten
Bestrebungen. Die Leute bejahen damit grundsätzlich die Notwendigkeit
für die Schweiz, sich den Vereinten Nationen anzuschliessen; dabei ist die
militärische Neutralität unseres Staates zu wahren. Die historische Tradition und die
geographische Lage der Schweiz gebieten im Lebensinteresse unseres Volkes diese
Neutralität. Sie dient dadurch, dass sie die Entfaltung vielfacher humanitärer
Tätigkeiten ermöglicht, erfahrungsgemäss auch den andern Nationen. Diese"
SP,"Tätigkeiten ermöglicht, erfahrungsgemäss auch den andern Nationen. Diese
Sonderstellung befreit uns aber nicht von der Aufgabe, an den Bemühungen der
Vereinten Nationen zur Wahrung des Friedens solidarisch mitzuarbeiten. In
Übereinstimmung mit der Personischen Internationale setzt sich die
2
Partei der Schweiz für eine allgemeine und kontrollierte
Abrüstung ein.
Die Zusammenarbeit aller Nationen und eine grosszügige Unterstützung der
Entwicklungsländer sind notwendig, um die durch Kolonialpolitik verschärften
Gegensätze zwischen weissen und farbigen Völkern zu überwinden. Unser Land
muss den wirtschaftlich und technisch weniger entwickelten Völkern in
uneigennütziger Weise helfen.
Die Schweiz muss die zum Schutze ihrer Unabhängigkeit und ihrer Neutralität
notwendigen Massnahmen treffen, solange weltpolitische Spannungen die
Menschheit mit Krieg bedrohen und eine den Frieden sichernde Politik der
Grossmächte nicht besteht. Die Landesverteidigung beschränkt sich nicht auf das"
SP,"Grossmächte nicht besteht. Die Landesverteidigung beschränkt sich nicht auf das
militärische Gebiet; sie umfasst alle Massnahmen und Tätigkeiten, die im
wirtschaftlichen, sozialen und geistigen Bereich dazu beitragen, den
Widerstandswillen des Volkes zu stärken.
Alle Massnahmen der Landesverteidigung sind unter Berücksichtigung der
Verhältnisse unseres Kleinstaates so zu planen, dass bei volkswirtschaftlich
tragbarem Aufwand die grösstmögliche Wirkung erzielt wird. Zur Finanzierung der
Rüstung sind hohe Einkommen und Vermögen angemessen heranzuziehen. Die
Gewinne der Rüstungsindustrie sind durch staatliche Kontrolle von Produktion und
Gestehungskosten zu beschränken. Der Staat hat überdies die Waffenausfuhr zu
kontrollieren.
Die Militärausgaben dürfen den weiteren fortschrittlichen Ausbau der Sozialpolitik
nicht beeinträchtigen.
Die schweizerische Armee muss eine Volksarmee bleiben. Auch bei den aus
militärisch-technischen Gründen vorzunehmenden Änderungen ihrer Organisation ist"
SP,"militärisch-technischen Gründen vorzunehmenden Änderungen ihrer Organisation ist
an der Milizarmee festzuhalten. Die Dienstordnung soll die innere Freiheit und
persönliche Würde des Wehrmannes respektieren. Für die Dienstverweigerer aus
Gewissensgründen ist eine menschlich befriedigende Lösung zu finden,
insbesondere durch Schaffung eines Zivildienstes.
II. Wirtschaftspolitik
Aller wirtschaftliche Erfolg beruht auf menschlicher Arbeit. Ihr soll jene
gesellschaftliche Wertung zukommen, die ihr als wichtigstem Faktor unserer
Volkswirtschaft gebührt. Im Mittelpunkt der unsere Wirtschaftspolitik
steht der Mensch mit seinen Bedürfnissen, seinen Rechten und seiner Würde.
Wirtschaftliche Demokratie und Menschlichkeit sind höher zu werten als Technik und
Profit.
Die wirtschaftspolitischen Massnahmen bezwecken die Sicherung und Förderung
des Wohlstandes für alle.
Die unmittelbaren wirtschaftspolitischen Ziele sind:"
SP,"des Wohlstandes für alle.
Die unmittelbaren wirtschaftspolitischen Ziele sind:
– Verwendung aller produktiven Wirtschaftskräfte und Steigerung der Produktivität
der gesamten Volkswirtschaft sowie der einzelnen Wirtschaftszweige;
– Vollbeschäftigung und Stetigkeit der wirtschaftlichen Entwicklung;
– Gerechter Anteil des einzelnen am Volkseinkommen und Volksvermögen;
– Verhinderung des Missbrauchs wirtschaftlicher Macht;
3
– Verwirklichung demokratischer Grundsätze in der Wirtschaft.
Zur Erreichung dieser Ziele sind folgende Richtlinien massgebend:
1. Die Wirtschaftspolitik hat durch planmässige Lenkung auf nationaler und
internationaler Ebene die Vollbeschäftigung sowie eine stetige Entwicklung der
Wirtschaft bei stabilem Preisniveau anzustreben; ein sinnvolles Mass an
wirtschaftlichen Initiativ- und Entfaltungsmöglichkeiten ist dabei zu gewähren.
Insbesondere soll die Freiheit der Wahl des Arbeitsplatzes und des Konsums
gewahrt werden."
SP,"Insbesondere soll die Freiheit der Wahl des Arbeitsplatzes und des Konsums
gewahrt werden.
2. Durch Verbesserung der Produktionsmethoden, durch Förderung der
wissenschaftlichen und technischen Forschung und der zweckmässigen
Ausbildung der für die verschiedenen Fachgebiete benötigten Arbeitskräfte soll
eine Entwicklung der Produktivkräfte erreicht werden, die dem Einzelnen ein
wachsendes Einkommen sichert, ohne ihn einer gesteigerten psychischen und
physischen Belastung auszusetzen.
3. Ein fairer Wettbewerb dient der Steigerung von Leistung und Ertrag. Dabei sind
möglichst gleiche Ausgangsbedingungen zu schaffen; der Aufstieg ist in
angemessener Weise zu erleichtern.
4. Der Anteil des Einzelnen am Volkseinkommen ist grundsätzlich nach seiner
Leistung zu bemessen, wobei soziale Gesichtspunkte zu berücksichtigen sind.
Die Arbeitseinkommen sind entsprechend der volkswirtschaftlichen Produktivität
zu erhöhen.
5. 6. 7. 8. Der Missbrauch wirtschaftlicher Macht durch Kartelle und ähnliche"
SP,"zu erhöhen.
5. 6. 7. 8. Der Missbrauch wirtschaftlicher Macht durch Kartelle und ähnliche
Organisationen sowie durch Trusts und andere Grossunternehmungen ist zu
bekämpfen.
Bei monopolistischen Unternehmungen und Organisationen sind entweder die
Voraussetzungen des fairen Wettbewerbes zu schaffen, oder es sind dieselben
unter öffentliche Kontrolle zu stellen oder in Gemeineigentum überzuführen.
Ebenso können private Unternehmungen, deren Tätigkeit im öffentlichen
Interesse liegt, in gemeinwirtschaftliche Formen überführt werden.
Die Gemeinwirtschaft in den Formen der Genossenschaft, der
Selbstverwaltungskörperschaft, des staatlichen, kommunalen oder
gemischtwirtschaftlichen Unternehmens ist zu fördern.
Bei den Entscheidungen über Richtung und Massnahmen der Wirtschaftspolitik
ist den einzelnen Wirtschaftsgruppen und Berufsverbänden, im besonderen
auch den Arbeitnehmern und Konsumenten, das Mitspracherecht einzuräumen.
III. Finanzpolitik"
SP,"auch den Arbeitnehmern und Konsumenten, das Mitspracherecht einzuräumen.
III. Finanzpolitik
Die Finanzpolitik ist in Bund, Kanton und Gemeinde eines der wichtigsten
Instrumente der Wirtschaftspolitik. Sie soll dazu dienen, die Produktivität zu erhöhen,
den allgemeinen Lebensstandard zu heben, die gerechte Verteilung des
Volkseinkommens zu sichern und die gebotenen Reformen ökonomischer und
sozialer Natur zu ermöglichen.
Die unmittelbaren finanzpolitischen Ziele der Partei der
Schweiz sind:
– Deckung des Finanzbedarfs für alle vom Gemeinwesen zu erfüllenden Aufgaben;
4
– gebend:
– Gerechte Verteilung der Steuerlasten nach der wirtschaftlichen Leistungsfähigkeit
sowie sozialer Ausgleich zwischen grossen und kleinen Einkommen und
Vermögen;
– Beeinflussung des Konjunkturablaufs im Sinne eines Ausgleichs der im
Wirtschaftsleben auftretenden Schwankungen.
Zur Erreichung dieser Ziele sind folgende Richtlinien massgebend:"
